SiteEngName,SiteChinName,gps_lon,gps_lat
Erlin,二林,120.409653,23.925175
Sanchong,三重,121.493806,25.072611
Sanyi,三義,120.758833,24.382942
Tucheng,土城,121.451861,24.982528
Shilin,士林,121.5145,25.105917
Datong,大同,121.513311,25.0632
Dali,大里,120.677689,24.099611
Dayuan,大園,121.201811,25.060344
Daliao,大寮,120.425311,22.564136
Xiaogang,小港,120.337736,22.565833
Zhongshan,中山,121.526528,25.062361
Zhongli,中壢,121.221667,24.953278
Renwu,仁武,120.332631,22.689056
Douliu,斗六,120.544994,23.711853
Dongshan,冬山,121.792928,24.632203
Guting,古亭,121.529556,25.020608
Zuoying,左營,120.292917,22.674861
Pingzhen,平鎮,121.204981,24.954208
Yonghe,永和,121.516306,25.017
Annan,安南,120.218333,23.048333
Puzi,朴子,120.24735,23.465308
Xizhi,汐止,121.6408,25.065669
Zhushan,竹山,120.677306,23.756389
Zhudong,竹東,121.088903,24.740644
Xitun,西屯,120.616917,24.162197
Shalu,沙鹿,120.568794,24.225628
Yilan,宜蘭,121.746394,24.747917
Zhongming,忠明,120.641092,24.151958
Songshan,松山,121.578611,25.05
Banqiao,板橋,121.458667,25.012972
Linkou,林口,121.365703,25.07857
Linyuan,林園,120.41175,22.4795
Hualien,花蓮,121.599769,23.971306
Kinmen,金門,118.312256,24.432133
Qianjin,前金,120.288086,22.632567
Qianzhen,前鎮,120.307564,22.605386
Nantou,南投,120.685306,23.913
Pingtung,屏東,120.488033,22.673081
Hengchun,恆春,120.788928,21.958069
Meinong,美濃,120.530542,22.883583
Miaoli,苗栗,120.8202,24.565269
Puli,埔里,120.967903,23.968842
Taoyuan,桃園,121.304417,24.995667
Magong,馬公,119.566158,23.569031
Matsu,馬祖,119.9525,26.153611
Keelung,基隆,121.760056,25.129167
Lunbei,崙背,120.348742,23.757547
Tamsui,淡水,121.449239,25.1645
Mailiao,麥寮,120.251825,23.753506
Shanhua,善化,120.297142,23.115097
FugueiCape,富貴角,121.537975,25.297436
Fuxing,復興,120.312017,22.608711
Hukou,湖口,121.038653,24.900142
Cailiao,菜寮,121.481028,25.06895
Yangming,陽明,121.529583,25.182722
Hsinchu,新竹,120.972075,24.805619
Xindian,新店,121.537778,24.977222
Xinzhuang,新莊,121.4325,25.037972
Xingang,新港,120.345531,23.554839
Xinying,新營,120.31725,23.305633
Nanzi,楠梓,120.328289,22.733667
Wanli,萬里,121.689881,25.179667
Wanhua,萬華,121.507972,25.046503
Chiayi,嘉義,120.440833,23.462778
Changhua,彰化,120.541519,24.066
Taixi,臺西,120.202842,23.717533
Taitung,臺東,121.15045,22.755358
Tainan,臺南,120.202617,22.984581
Fengshan,鳳山,120.358083,22.627392
Chaozhou,潮州,120.561175,22.523108
Xianxi,線西,120.469061,24.131672
Qiaotou,橋頭,120.305689,22.757506
Toufen,頭份,120.898572,24.696969
Longtan,龍潭,121.21635,24.863869
Fengyuan,豐原,120.741711,24.256586
Guanshan,關山,121.161933,23.045083
Guanyin,觀音,121.082761,25.035503
